ID,transaction_id,Category_Code,Unit_Code,Project_Code,transaction_date,customer_id
1291,1000002309,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1292,1000002309,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1293,1000002309,Crab & Crack,BU-fca786ffced3,,2026-04-26,3
1294,1000002308,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1295,1000002310,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1296,1000002315,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1297,1000002313,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1298,1000002319,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1299,1000002322,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1300,1000002320,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1301,1000002320,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1302,1000002321,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1303,1000002328,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1304,1000002327,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1305,1000002331,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1306,1000002330,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1307,1000002330,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1308,1000002330,Crab & Crack,BU-fca786ffced3,,2026-04-26,3
1309,1000002332,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1310,1000002332,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1311,1000002335,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1312,1000002335,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1313,1000002335,Crab & Crack,BU-fca786ffced3,,2026-04-26,3
1314,1000002341,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1315,1000002341,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1316,1000002341,Crab & Crack,BU-fca786ffced3,,2026-04-26,3
1317,1000002337,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1318,1000002337,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1319,1000002337,Crab & Crack,BU-fca786ffced3,,2026-04-26,3
1320,1000002344,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1321,1000002348,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1322,1000002350,Crab & Crack,BU-fca786ffced3,,2026-04-27,1
1323,1000002350,Crab & Crack,BU-fca786ffced3,,2026-04-27,2
1324,1000002349,Crab & Crack,BU-fca786ffced3,,2026-04-27,1
1325,1000002349,Crab & Crack,BU-fca786ffced3,,2026-04-27,2
